year,overall_pick,newPick,pickDifference,rank,team,player,college,3_point_percentage,assists,average_assists,average_minutes_played,average_total_rebounds,box_plus_minus,expected_perf,field_goal_percentage,free_throw_percentage,games,minutes_played,observed_perf,overall_performance,pick_perf_difference,points,points_per_game,total_rebounds,value_over_replacement,win_shares,win_shares_per_48_minutes,years_active
1991,12,11,1,Elite,NYK,Greg Anthony,UNLV,,,,,,,,,,,,,,,,,,,,,
1991,49,32,17,Role,SAS,Greg Sutton,Oral Roberts,,,,,,,,,,,,,,,,,,,,,
1991,48,18,30,Solid,UTA,Isaac Austin,Arizona State,,,,,,,,,,,,,,,,,,,,,
1991,39,34,5,Role,CLE,Jimmy Oliver,Purdue,,,,,,,,,,,,,,,,,,,,,
1991,38,48,-10,NA,LAC,Joe Wylie,Miami (FL),,,,,,,,,,,,,,,,,,,,,
1991,50,49,1,NA,PHO,Joey Wright,Texas,,,,,,,,,,,,,,,,,,,,,
1991,20,44,-24,Rotation,HOU,John Turner,Phillips University,,,,,,,,,,,,,,,,,,,,,
1991,47,50,-3,NA,HOU,Keith Hughes,Rutgers University,,,,,,,,,,,,,,,,,,,,,
1991,2,5,-3,Star,NJN,Kenny Anderson,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1991,18,36,-18,Rotation,MIL,Kevin Brooks,Louisiana,,,,,,,,,,,,,,,,,,,,,
1991,28,35,-7,Role,CHH,Kevin Lynch,Minnesota,,,,,,,,,,,,,,,,,,,,,
1991,19,27,-8,Solid,WSB,LaBradford Smith,Louisville,,,,,,,,,,,,,,,,,,,,,
1991,43,40,3,Rotation,GSW,Lamont Strothers,Christopher Newport University,,,,,,,,,,,,,,,,,,,,,
1991,1,2,-1,Star,CHH,Larry Johnson,UNLV,,,,,,,,,,,,,,,,,,,,,
1991,22,39,-17,Rotation,LAC,LeRon Ellis,Syracuse,,,,,,,,,,,,,,,,,,,,,
1991,7,16,-9,Starter,MIN,Luc Longley,New Mexico,,,,,,,,,,,,,,,,,,,,,
1991,54,51,3,NA,POR,Marcus Kennedy,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,
1991,8,26,-18,Solid,DEN,Mark Macon,Temple,,,,,,,,,,,,,,,,,,,,,
1991,26,37,-11,Rotation,CHI,Mark Randall,Kansas,,,,,,,,,,,,,,,,,,,,,
1991,35,17,18,Starter,DAL,Mike Iuzzolino,Saint Francis University,,,,,,,,,,,,,,,,,,,,,
1991,34,42,-8,Rotation,MIN,Myron Brown,Slippery Rock University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,
1991,27,21,6,Solid,SAC,Pete Chilcutt,UNC,,,,,,,,,,,,,,,,,,,,,
1991,31,20,11,Solid,SAC,Randy Brown,New Mexico State,,,,,,,,,,,,,,,,,,,,,
1991,14,43,-29,Rotation,SEA,Rich King,Nebraska,,,,,,,,,,,,,,,,,,,,,
1991,46,22,24,Solid,PHO,Richard Dumas,Oklahoma State,,,,,,,,,,,,,,,,,,,,,
1991,24,7,17,Elite,BOS,Rick Fox,UNC,,,,,,,,,,,,,,,,,,,,,
1991,30,38,-8,Rotation,ATL,Rodney Monroe,NC State,,,,,,,,,,,,,,,,,,,,,
1991,41,41,0,Rotation,IND,Sean Green,Iona College,,,,,,,,,,,,,,,,,,,,,
1991,25,52,-27,NA,GSW,Shaun Vandiver,Colorado,,,,,,,,,,,,,,,,,,,,,
1991,9,10,-1,Elite,ATL,Stacey Augmon,UNLV,,,,,,,,,,,,,,,,,,,,,
1991,23,25,-2,Solid,ORL,Stanley Roberts,LSU,,,,,,,,,,,,,,,,,,,,,
1991,42,53,-11,NA,SAC,Steve Hood,James Madison University,,,,,,,,,,,,,,,,,,,,,
1991,5,4,1,Star,MIA,Steve Smith,Michigan State,,,,,,,,,,,,,,,,,,,,,
1991,11,3,8,Star,CLE,Terrell Brandon,Oregon,,,,,,,,,,,,,,,,,,,,,
1991,17,19,-2,Solid,GSW,Victor Alexander,Iowa State,,,,,,,,,,,,,,,,,,,,,
1991,53,54,-1,NA,NJN,Von McDade,UW-Milwaukee,,,,,,,,,,,,,,,,,,,,,
1991,51,33,18,Role,HOU,Žan Tabak,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1992,10,27,-17,Solid,ATL,Adam Keefe,Stanford,,,,,,,,,,,,,,,,,,,,,
1992,2,2,0,Star,CHH,Alonzo Mourning,Georgetown,,,,,,,,,,,,,,,,,,,,,
1992,15,13,2,Elite,LAL,Anthony Peeler,Missouri,,,,,,,,,,,,,,,,,,,,,
1992,32,25,7,Starter,WSB,Brent Price,Oklahoma,,,,,,,,,,,,,,,,,,,,,
1992,54,49,5,NA,SAC,Brett Roberts,Morehead State University,,,,,,,,,,,,,,,,,,,,,
1992,48,43,5,Rotation,PHO,Brian Davis,Duke,,,,,,,,,,,,,,,,,,,,,
1992,13,14,-1,Elite,DEN,Bryant Stith,Virginia,,,,,,,,,,,,,,,,,,,,,
1992,27,32,-5,Role,CHI,Byron Houston,Oklahoma State,,,,,,,,,,,,,,,,,,,,,
1992,45,31,14,Role,SEA,Chris King,Wake Forest,,,,,,,,,,,,,,,,,,,,,
1992,34,30,4,Solid,MIN,Chris Smith,UConn,,,,,,,,,,,,,,,,,,,,,
1992,3,5,-2,Star,MIN,Christian Laettner,Duke,,,,,,,,,,,,,,,,,,,,,
1992,9,9,0,Star,PHI,Clarence Weatherspoon,Southern Miss,,,,,,,,,,,,,,,,,,,,,
1992,33,41,-8,Rotation,CHI,Corey Williams,Oklahoma State,,,,,,,,,,,,,,,,,,,,,
1992,53,50,3,NA,HOU,Curtis Blair,Richmond,,,,,,,,,,,,,,,,,,,,,
1992,47,37,10,Role,BOS,Darren Morningstar,Pitt,,,,,,,,,,,,,,,,,,,,,
1992,26,44,-18,Rotation,POR,Dave Johnson,Syracuse,,,,,,,,,,,,,,,,,,,,,
1992,19,23,-4,Starter,DET,Don MacLean,UCLA,,,,,,,,,,,,,,,,,,,,,
1992,17,6,11,Star,SEA,Doug Christie,Pepperdine,,,,,,,,,,,,,,,,,,,,,
1992,36,38,-2,Rotation,LAL,Duane Cooper,USC,,,,,,,,,,,,,,,,,,,,,
1992,38,42,-4,Rotation,ATL,Elmer Bennett,Notre Dame,,,,,,,,,,,,,,,,,,,,,
1992,25,34,-9,Role,LAC,Elmore Spencer,UNLV,,,,,,,,,,,,,,,,,,,,,
1992,12,29,-17,Solid,MIA,Harold Miner,USC,,,,,,,,,,,,,,,,,,,,,
1992,44,51,-7,NA,SAS,Henry Williams,UNC Charlotte,,,,,,,,,,,,,,,,,,,,,
1992,20,17,3,Starter,NYK,Hubert Davis,UNC,,,,,,,,,,,,,,,,,,,,,
